dropout_p,n_inferences,spearman_corr,ece,avg_uncertainty
0.05,20,0.010582260112461455,0.07144362634460395,1.0346254
0.05,30,0.05974605477961183,0.10376434178160344,1.0611923
0.05,50,0.13651369490295667,0.0822035260248504,1.0779071
0.05,80,0.02848902593869037,0.08214510707247173,1.0772183
0.05,100,-0.2307817884999093,0.08346557497178153,1.0826706
0.1,20,0.05198984219118448,0.09250908389987557,1.1256664
0.1,30,-0.0712134953745692,0.09560205412391046,1.1381474
0.1,50,0.007244694358788318,0.09949661341289542,1.1551756
0.1,80,0.011079267186649738,0.10057367154415821,1.1598487
0.1,100,-0.042506802104117544,0.10184924394492337,1.1654681
0.15,20,0.24270995828042813,0.10762605831127034,1.1963638
0.15,30,0.08205695628514421,0.110952272311153,1.211389
0.15,50,0.05555233085434428,0.12176522432557693,1.2362525
0.15,80,0.08345728278614184,0.11610842291140719,1.2348417
0.15,100,0.1081081081081081,0.11773195142713974,1.2426778
0.2,20,0.1900417195719209,0.13629424671998758,1.2866724
0.2,30,0.15903863595138765,0.1338966856866875,1.2999841
0.2,50,-0.05225104298929803,0.13170741608478875,1.3161184
0.2,80,0.04740794485760928,0.13363735487797113,1.3259169
0.2,100,0.03942318157083258,0.13316576292850824,1.3231381
0.25,20,0.18600761835661164,0.1475838940815638,1.3718702
0.25,30,-0.011906403047342645,0.1465231640226889,1.3994292
0.25,50,0.14423000181389445,0.1482235599284204,1.4084493
0.25,80,0.09614366043896246,0.15039573679834403,1.4203389
0.25,100,0.002151278795574098,0.15021366060980218,1.4188384
0.3,20,0.13751496462905857,0.15875478558892367,1.4735425
0.3,30,0.09608561581715946,0.16223659731397694,1.4935579
0.3,50,0.0362815164157446,0.16555576196452917,1.5136172
0.3,80,0.1053473607836024,0.1681038705294564,1.5284771
0.3,100,0.08697986577181209,0.16852359563712302,1.5310919
